item_id	i_category_c	i_subcategory_c
441	5	62
819	6	108
313	4	89
333	6	92
629	12	102
474	6	52
900	5	84
515	3	85
385	5	84
261	6	108
806	6	108
107	9	80
693	6	108
687	5	62
833	6	58
189	5	110
936	6	48
446	2	20
708	2	20
433	6	108
26	6	53
165	10	39
141	5	62
807	3	28
549	11	98
255	6	108
416	4	88
73	6	108
215	12	101
876	4	94
353	6	49
27	7	67
791	4	88
508	5	84
804	6	57
84	3	61
10	4	37
874	7	65
506	3	25
831	6	56
803	2	44
466	11	98
426	4	37
903	3	32
878	4	87
306	6	92
604	2	20
594	9	77
813	1	12
149	1	10
486	5	84
743	4	37
48	11	95
415	3	28
837	3	28
87	13	107
789	6	50
763	4	87
214	4	89
109	2	20
899	2	20
485	4	88
387	4	88
518	5	84
9	4	88
371	2	20
428	6	92
545	6	53
150	4	87
410	5	84
520	4	88
163	6	92
812	6	50
844	6	56
760	4	94
11	5	62
156	4	88
361	4	94
589	6	92
195	6	56
924	1	10
673	5	36
947	2	44
646	1	11
881	2	20
431	12	101
437	3	61
287	5	62
98	5	110
440	2	20
267	9	78
681	3	32
649	9	82
388	11	98
768	2	20
678	9	82
350	10	15
939	13	90
773	9	82
382	9	82
884	3	61
425	9	77
291	3	34
305	6	48
560	3	31
875	9	78
6	9	83
408	9	78
852	9	73
480	9	82
572	9	73
435	3	28
943	4	37
99	1	5
570	12	100
767	10	39
28	10	38
103	5	62
632	9	83
74	14	109
417	11	95
856	10	16
288	3	61
207	5	43
336	3	26
586	8	21
841	9	73
740	9	82
151	6	48
908	6	60
131	10	15
581	9	82
298	3	29
950	9	82
273	5	43
284	3	33
19	10	16
324	10	39
126	9	82
554	11	105
584	10	93
688	3	26
830	11	97
369	10	39
676	9	78
827	10	39
574	4	81
657	10	16
602	10	42
453	9	83
919	9	83
948	8	21
918	7	66
931	4	94
913	10	15
661	12	100
319	9	73
81	10	39
332	10	39
167	10	38
462	10	15
70	1	9
286	10	39
161	6	48
779	9	73
133	3	28
840	8	71
885	3	26
339	9	82
347	9	78
647	13	107
666	9	82
145	9	83
633	13	72
85	10	38
655	14	109
705	9	73
295	9	82
231	9	82
457	9	82
738	9	78
46	9	73
363	9	82
836	5	43
723	5	62
910	14	109
553	13	107
427	6	51
31	6	48
77	9	78
447	4	88
376	4	88
810	4	88
252	9	78
467	4	37
232	3	28
916	4	81
244	10	39
227	9	83
411	8	69
327	9	78
896	11	96
17	9	73
575	1	8
613	12	102
659	10	39
419	9	83
769	3	31
478	10	39
172	3	26
384	13	107
788	8	69
645	9	82
248	9	78
607	9	83
220	6	48
832	9	82
442	4	37
524	2	41
314	3	31
44	10	15
609	9	83
720	13	86
122	5	84
208	10	39
821	10	39
933	5	111
468	4	88
818	9	82
309	4	88
240	10	39
941	5	62
503	9	78
592	4	94
590	11	96
848	7	68
628	9	82
902	3	28
155	1	5
588	11	95
551	4	88
154	9	22
108	4	88
183	9	78
114	14	109
578	4	89
394	9	73
56	10	15
345	11	105
312	3	30
761	10	15
101	4	89
359	4	94
250	8	69
703	13	90
599	10	40
532	13	47
377	12	102
12	4	88
753	9	82
412	10	39
598	3	61
269	11	104
307	1	8
266	12	102
595	10	39
477	9	77
279	10	39
253	9	82
351	6	58
64	10	17
492	9	78
174	1	5
582	12	100
945	13	72
47	7	66
68	9	75
699	5	108
677	9	78
794	6	58
132	4	89
935	10	16
357	1	8
535	10	39
104	11	96
675	9	78
805	9	82
734	6	48
504	13	3
814	4	81
877	10	38
651	10	16
481	9	78
139	5	36
648	13	86
